SerialNo,CompanyName,Website,Address,Prefecture,BusinessFields,Features,RecruitTags,Email,Phone,Notes,LogoURL
1,アークシステム株式会社,https://www.ark-sys.co.jp/,220-0011　横浜市西区高島2-6-32　横浜東口ウィスポートビル4F,,パッケージソフトウェア、SES,顧客第一、高い技術力、人間尊重,新卒採用 | 中途採用 | インターンシップ | 常駐・派遣,,,新卒採用 | 中途採用 | インターンシップ | 220-0011 横浜市西区高島2-6-32 横浜東口ウィスポートビル4F | パッケージソフトウェア、SES | 顧客第一、高い技術力、人間尊重 |,
2,アーズ総合開発株式会社,http://www.arz.co.jp/,140-0001　東京都品川区北品川3-6-2　品川MSビル8F,東京都,特長,,,,,140-0001 東京都品川区北品川3-6-2 品川MSビル8F |,
3,アーネスト開発株式会社,https://www.earnestdevelopment.co.jp/,230-0075　横浜市鶴見区上の宮1-36-2,,SES,,中途採用,,,中途採用 | 230-0075 横浜市鶴見区上の宮1-36-2 | SES |,
4,アーバン・コーポレーション株式会社,http://urban-web.co.jp/,220-0011　横浜市西区高島1-2-5　横濱ゲートタワー16F,,特長,,,,,220-0011 横浜市西区高島1-2-5 横濱ゲートタワー16F |,
5,アイエスシー株式会社,http://www.isc-net.co.jp,211-0002　川崎市中原区上丸子山王町1-874-5　ユーテムビル2階,,特長,,,,,211-0002 川崎市中原区上丸子山王町1-874-5 ユーテムビル2階 |,
6,株式会社ＩＳＴソフトウェア,http://www.ist-software.co.jp/,144-8721　東京都大田区蒲田5-37-1　ニッセイアロマスクエア13F,東京都,受託開発ソフトウェア、組み込みソフトウェア、パッケージソフトウェア、情報処理サービス、ネットワーク・通信関連、SES、インターネット利用サポート（情報ネットワーク・セキュリティ・サービス）,,新卒採用 | 中途採用 | インターンシップ | 常駐・派遣,,,新卒採用 | 中途採用 | インターンシップ | 144-8721 東京都大田区蒲田5-37-1 ニッセイアロマスクエア13F | 受託開発ソフトウェア、組み込みソフトウェア、パッケージソフトウェア、情報処理サービス、ネットワーク・通信関連、SES、インターネット利用サポート（情報ネットワーク・セキュリティ・サービス） |,
7,株式会社アイキャル,https://www.ical.jp/,221-0844　横浜市神奈川区沢渡1-2　Ｊプロ高島台サウスビル5F,,情報処理サービス,,新卒採用 | 中途採用 | インターンシップ | 常駐・派遣,,,新卒採用 | 中途採用 | インターンシップ | 221-0844 横浜市神奈川区沢渡1-2 Ｊプロ高島台サウスビル5F | 情報処理サービス |,
8,株式会社ＩＣＯＮ,http://www.e-icon.co.jp/,221-0834　横浜市神奈川区台町13-19　三栄ビル3F,,特長,,,,,221-0834 横浜市神奈川区台町13-19 三栄ビル3F |,
9,株式会社アイ・ジー・スクウェア,https://www.igsquare.co.jp/,220-0004　横浜市西区北幸2-10-27　東武立野ビル3F,,情報処理サービス、SES,,新卒採用 | 常駐・派遣,,,新卒採用 | 220-0004 横浜市西区北幸2-10-27 東武立野ビル3F | 情報処理サービス、SES |,
10,アイシス株式会社,http://www.isis.co.jp/,215-0004　川崎市麻生区万福寺1-1-1 新百合ヶ丘シティビルディング3F,,組み込みソフトウェア、パッケージソフトウェア、情報処理サービス、その他の情報サービス、SES,,新卒採用 | 中途採用 | 常駐・派遣,,,新卒採用 | 中途採用 | 215-0004 川崎市麻生区万福寺1-1-1 新百合ヶ丘シティビルディング3F | 組み込みソフトウェア、パッケージソフトウェア、情報処理サービス、その他の情報サービス、SES |,
11,株式会社アイセル,http://www.aisel.ne.jp/,110-0005　東京都台東区上野3-24-6　上野フロンティアタワー12F,東京都,受託開発ソフトウェア、組み込みソフトウェア、情報処理サービス、その他の情報サービス,,新卒採用 | 中途採用 | インターンシップ | 常駐・派遣,,,新卒採用 | 中途採用 | インターンシップ | 110-0005 東京都台東区上野3-24-6 上野フロンティアタワー12F | 受託開発ソフトウェア、組み込みソフトウェア、情報処理サービス、その他の情報サービス |,
12,株式会社ＩＴＳコア,https://www.its-core.co.jp/,222-0033　横浜市港北区新横浜2-14-27　新横浜第一ビルディング4F,,受託開発ソフトウェア、パッケージソフトウェア、情報処理サービス、その他の情報サービス、その他インターネット付随サービス,ITSコアはプロフェッショナルな集団として技術力×チーム力×人間力を融合させ、お客様のビジョンに合った価値あるITサービスを提供しています。,新卒採用 | 中途採用 | インターンシップ | 常駐・派遣,,,新卒採用 | 中途採用 | インターンシップ | 222-0033 横浜市港北区新横浜2-14-27 新横浜第一ビルディング4F | 受託開発ソフトウェア、パッケージソフトウェア、情報処理サービス、その他の情報サービス、その他インターネット付随サービス | ITSコアはプロフェッショナルな集団として技術力×チーム力×人間力を融合させ、お客様のビジョンに合った価値あるITサービスを提供しています。 |,
13,株式会社アイティサーフ,https://it-surf.co.jp/,231-0002　横浜市中区海岸通4-23　マリンビル309,,受託開発ソフトウェア、SES,,新卒採用 | 中途採用 | 常駐・派遣,,,新卒採用 | 中途採用 | 231-0002 横浜市中区海岸通4-23 マリンビル309 | 受託開発ソフトウェア、SES |,
14,株式会社アイテック,http://www.itec.co.jp,143-0006　東京都大田区平和島6-1-1　センタービル8F,東京都,その他の情報サービス、SES,情報処理技術者試験対策として、民間第1号の教育センターとして創業した、IT技術者教育全般に強みを持つ教育会社です。,中途採用 | 常駐・派遣,takuma_toku@itec.co.jp,,中途採用 | 143-0006 東京都大田区平和島6-1-1 センタービル8F | その他の情報サービス、SES | 情報処理技術者試験対策として、民間第1号の教育センターとして創業した、IT技術者教育全般に強みを持つ教育会社です。 | 内定者・新入社員教育、階層別教育、ヒューマンスキル教育、プロジェクトマネジメント教育、DX・生成AI教育など、幅広くご提供しております。 | 教育課題をお持ちの方は、是非ご連絡ください。 | 株式会社アイテック 法人営業部 徳（トク） |,
15,アイテックジャパン株式会社,http://www.itec-japan.co.jp/,141-0031　東京都品川区西五反田8-1-3　PMO五反田6F,東京都,受託開発ソフトウェア、情報処理サービス,,新卒採用 | 中途採用 | 常駐・派遣,,,新卒採用 | 中途採用 | 141-0031 東京都品川区西五反田8-1-3 PMO五反田6F | 受託開発ソフトウェア、情報処理サービス |,
16,株式会社アイネステクノロジーズ,https://iti.ines.co.jp,244-0801　横浜市戸塚区品濃町549-2　三宅ビル3F,,特長,,,,,244-0801 横浜市戸塚区品濃町549-2 三宅ビル3F |,
17,株式会社アイネックス,https://www.inex.co.jp/index.html,221-0835　横浜市神奈川区鶴屋町2-23-5　銀洋第２ビル2F,,受託開発ソフトウェア、パッケージソフトウェア、情報処理サービス、SES,,新卒採用 | 中途採用 | 常駐・派遣,,,新卒採用 | 中途採用 | 221-0835 横浜市神奈川区鶴屋町2-23-5 銀洋第２ビル2F | 受託開発ソフトウェア、パッケージソフトウェア、情報処理サービス、SES |,
18,株式会社アイネット,https://www.inet.co.jp/,220-0012　横浜市西区みなとみらい5-1-2　横浜シンフォステージ ウエストタワー13F,,情報処理サービス,理系・文系を問わず、全学部・全学科を対象に、“明るく、元気で、やる気のある、コミュニケーション能力に長けた方”を求めています!,新卒採用 | 中途採用 | インターンシップ | 常駐・派遣,,,新卒採用 | 中途採用 | インターンシップ | 220-0012 横浜市西区みなとみらい5-1-2 横浜シンフォステージ ウエストタワー13F | 情報処理サービス | 理系・文系を問わず、全学部・全学科を対象に、“明るく、元気で、やる気のある、コミュニケーション能力に長けた方”を求めています! |,
19,株式会社アイネット・データサービス,https://www.inet-d.co.jp/,244-0813　横浜市戸塚区舞岡町644-12,,その他の情報サービス,,,,,244-0813 横浜市戸塚区舞岡町644-12 | その他の情報サービス |,
